Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
657,-10,0,1.00,0.98
658,-10,0,1.00,0.98
659,-10,0,1.00,0.98
660,-10,0,1.00,0.98
661,-10,0,1.00,0.98
662,-10,0,1.00,0.98
663,-10,0,1.00,0.98
664,-10,0,1.00,0.98
665,-10,0,1.00,0.98
666,-10,0,1.00,0.98
667,-10,0,1.00,0.98
668,-10,0,1.00,0.98
669,-10,0,1.00,0.98
670,-10,0,1.00,0.98
671,-10,0,1.00,0.98
672,-10,0,1.00,0.98
673,-10,0,1.00,0.98
674,-10,0,1.00,0.98
675,-10,0,1.00,0.98
676,-10,0,1.00,0.98
677,-10,0,1.00,0.98
678,-10,0,1.00,0.98
679,-10,0,1.00,0.98
680,-10,0,1.00,0.98
681,-10,0,1.00,0.98
682,-10,0,1.00,0.98
683,-10,0,1.00,0.98
684,-10,0,1.00,0.98
685,-10,0,1.00,0.98
686,-10,0,1.00,0.98
687,-10,0,1.00,0.98
688,-10,0,1.00,0.98
689,-10,0,1.00,0.98
690,-10,0,1.00,0.98
691,-10,0,1.00,0.98
692,-10,0,1.00,0.98
693,-10,0,1.00,0.98
694,-10,0,1.00,0.98
695,-10,0,1.00,0.98
696,-10,0,1.00,0.98
697,-10,0,1.00,0.98
698,-10,0,1.00,0.98
699,-10,0,1.00,0.98
700,-10,0,1.00,0.98
701,-10,0,1.00,0.98
702,-10,0,1.00,0.98
703,-10,0,1.00,0.98
704,-10,0,1.00,0.98
705,-10,0,1.00,0.98
706,-10,0,1.00,0.98
707,-10,0,1.00,0.98
708,-10,0,1.00,0.98
709,-10,0,1.00,0.98
710,-10,0,1.00,0.98
711,-10,0,1.00,0.98
712,-10,0,1.00,0.98
713,-10,0,1.00,0.98
714,-10,0,1.00,0.98
715,-10,0,1.00,0.98
716,-10,0,1.00,0.98
717,-10,0,1.00,0.98
718,-10,0,1.00,0.98
719,-10,0,1.00,0.98
720,-10,0,1.00,0.98
721,-10,0,1.00,0.98
722,-10,0,1.00,0.98
723,-10,0,1.00,0.98
724,-10,0,1.00,0.98
725,-10,0,1.00,0.98
726,-10,0,1.00,0.98
727,-10,0,1.00,0.98
728,-10,0,1.00,0.98
729,-10,0,1.00,0.98
730,-10,0,1.00,0.98
731,-10,0,1.00,0.98
732,-10,0,1.00,0.98
733,-10,0,1.00,0.98
734,-10,0,1.00,0.98
735,-10,0,1.00,0.98
736,-10,0,1.00,0.98
737,-10,0,1.00,0.98
738,-10,0,1.00,0.98
739,-10,0,1.00,0.98
740,-10,0,1.00,0.98
741,-10,0,1.00,0.98
742,-10,0,1.00,0.98
743,-10,0,1.00,0.98
744,-10,0,1.00,0.98
745,-10,0,1.00,0.98
746,-10,0,1.00,0.98
747,-10,0,1.00,0.98
748,-10,0,1.00,0.98
749,-10,0,1.00,0.98
750,-10,0,1.00,0.98
751,-10,0,1.00,0.98
752,-10,0,1.00,0.98
753,-10,0,1.00,0.98
754,-10,0,1.00,0.98
755,-10,0,1.00,0.98
756,-10,0,1.00,0.98
757,-10,0,1.00,0.98
758,-10,0,1.00,0.98
759,-10,0,1.00,0.98
760,-10,0,1.00,0.98
761,-10,0,1.00,0.98
762,-10,0,1.00,0.98
763,-10,0,1.00,0.98
764,-10,0,1.00,0.98
765,-10,0,1.00,0.98
766,-10,0,1.00,0.98
767,-10,0,1.00,0.98
768,-10,0,1.00,0.98
769,-10,0,1.00,0.98
770,-10,0,1.00,0.98
771,-10,0,1.00,0.98
772,-10,0,1.00,0.98
773,-10,0,1.00,0.98
774,-10,0,1.00,0.98
775,-10,0,1.00,0.98
776,-10,0,1.00,0.98
